"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=6&linechart=~~&freq=A&start=2010&end=2014&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sun Apr 30 2017 20:47:40 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014"
"South Dakota : commercial","cents per kilowatthour","ELEC.PRICE.SD-COM.A",7.55,7.76,8.10,8.51,8.89
"South Dakota : industrial","cents per kilowatthour","ELEC.PRICE.SD-IND.A",6.07,6.20,6.57,6.97,6.99
"South Atlantic : commercial","cents per kilowatthour","ELEC.PRICE.SAT-COM.A",9.29,9.46,9.37,9.38,9.68
"South Atlantic : industrial","cents per kilowatthour","ELEC.PRICE.SAT-IND.A",6.66,6.66,6.55,6.55,6.75
"Delaware : commercial","cents per kilowatthour","ELEC.PRICE.DE-COM.A",11.36,10.64,10.13,10.20,10.50
"Delaware : industrial","cents per kilowatthour","ELEC.PRICE.DE-IND.A",9.57,8.91,8.36,8.43,8.58
"District Of Columbia : commercial","cents per kilowatthour","ELEC.PRICE.DC-COM.A",13.42,12.90,12.02,11.94,12.19
"District Of Columbia : industrial","cents per kilowatthour","ELEC.PRICE.DC-IND.A",7.74,6.89,5.46,5.54,8.41
"Florida : commercial","cents per kilowatthour","ELEC.PRICE.FL-COM.A",9.76,9.85,9.66,9.39,9.87
"Florida : industrial","cents per kilowatthour","ELEC.PRICE.FL-IND.A",8.85,8.55,8.04,7.61,7.90
"Georgia : commercial","cents per kilowatthour","ELEC.PRICE.GA-COM.A",9.06,9.87,9.58,9.99,10.36
"Georgia : industrial","cents per kilowatthour","ELEC.PRICE.GA-IND.A",6.22,6.60,5.98,6.27,6.64
"Maryland : commercial","cents per kilowatthour","ELEC.PRICE.MD-COM.A",11.75,11.28,10.43,10.68,11.15
"Maryland : industrial","cents per kilowatthour","ELEC.PRICE.MD-IND.A",9.58,8.76,8.09,8.36,9.04
"North Carolina : commercial","cents per kilowatthour","ELEC.PRICE.NC-COM.A",8.16,8.13,8.66,8.76,8.75
"North Carolina : industrial","cents per kilowatthour","ELEC.PRICE.NC-IND.A",6.17,6.01,6.42,6.45,6.50
"South Carolina : commercial","cents per kilowatthour","ELEC.PRICE.SC-COM.A",8.90,9.30,9.63,9.88,10.28
"South Carolina : industrial","cents per kilowatthour","ELEC.PRICE.SC-IND.A",5.74,5.94,6.02,6.01,6.29
"Virginia : commercial","cents per kilowatthour","ELEC.PRICE.VA-COM.A",7.65,7.95,8.08,8.00,8.15
"Virginia : industrial","cents per kilowatthour","ELEC.PRICE.VA-IND.A",6.66,6.49,6.72,6.63,6.89
"West Virginia : commercial","cents per kilowatthour","ELEC.PRICE.WV-COM.A",7.66,8.14,8.42,8.17,7.99
"West Virginia : industrial","cents per kilowatthour","ELEC.PRICE.WV-IND.A",5.86,6.18,6.33,6.20,5.87
"East South Central : commercial","cents per kilowatthour","ELEC.PRICE.ESC-COM.A",9.34,9.80,9.87,9.81,10.34
"East South Central : industrial","cents per kilowatthour","ELEC.PRICE.ESC-IND.A",5.83,6.19,6.11,5.98,6.13
"Alabama : commercial","cents per kilowatthour","ELEC.PRICE.AL-COM.A",10.18,10.47,10.63,10.51,10.79
"Alabama : industrial","cents per kilowatthour","ELEC.PRICE.AL-IND.A",6.01,6.25,6.22,5.95,6.15
"Kentucky : commercial","cents per kilowatthour","ELEC.PRICE.KY-COM.A",7.88,8.49,8.73,8.56,9.44
"Kentucky : industrial","cents per kilowatthour","ELEC.PRICE.KY-IND.A",5.05,5.33,5.35,5.66,5.68
"Mississippi : commercial","cents per kilowatthour","ELEC.PRICE.MS-COM.A",9.32,9.48,9.33,10.10,10.76
"Mississippi : industrial","cents per kilowatthour","ELEC.PRICE.MS-IND.A",6.32,6.53,6.24,6.34,6.60
"Tennessee : commercial","cents per kilowatthour","ELEC.PRICE.TN-COM.A",9.66,10.27,10.31,10.00,10.38
"Tennessee : industrial","cents per kilowatthour","ELEC.PRICE.TN-IND.A",6.58,7.23,7.08,6.29,6.40
"West South Central : commercial","cents per kilowatthour","ELEC.PRICE.WSC-COM.A",8.78,8.56,7.99,8.11,8.26
